return,risk,sharpe,weight_100016,weight_100025,weight_100033,weight_101206,weight_101207
0.13574637188685146,0.08001416833956472,1.6965291860657727,0.37984419207253295,0.12273726927739712,0.2443127086783543,0.2171143139419524,0.035991516029763145
0.09922939303875561,0.08235326552500222,1.204923598428891,0.3685759205631969,0.2158163565646318,0.1613107358697056,0.053252688693851594,0.20104429830861406
0.1237034280514262,0.11703419275367244,1.0569853573629617,0.2226505127892799,0.07172810239503906,0.09603957730809817,0.19825723805003068,0.41132456945755214
0.113114616943676,0.08768383663703358,1.2900281429508256,0.1792463783182401,0.2733683862394684,0.1567420521969505,0.09814377433916305,0.29249940890617787
0.08227190549564675,0.10710532545164522,0.768140194231425,0.2722487019230709,0.2633563049616416,0.0402071480256563,0.04604814694281734,0.3781396981468139
0.07869657667680527,0.09776824149477738,0.8049298573198651,0.29827867026016347,0.29909881158186763,0.07338452239196795,0.00047309157840989206,0.32876490418759113
0.13061955692987468,0.08551670953561889,1.5274156084720474,0.21763982044704208,0.1656142858979152,0.1830555389458842,0.18160980154534326,0.25208055316381534
0.14880662475256057,0.07195260373732526,2.0681200821557963,0.10417166940215013,0.289505577014245,0.12547762025417686,0.43745495111862004,0.043390182210808
0.11105704080718168,0.0662837805875616,1.6754783722765196,0.009558409436310002,0.5376063261845986,0.1962122941872593,0.0634933386090749,0.19312963158275712
0.13076840674454943,0.07600356156576638,1.7205563009227491,0.1478037689803999,0.26629087445922417,0.19895958407394185,0.17231136566723618,0.214634406819198
0.12037942805845014,0.07651219712751568,1.5733364427873515,0.28981308881273676,0.28354852162033295,0.29793562362458803,0.0283160976892183,0.10038666825312384
0.13683617657058272,0.07089343303865715,1.930167163663353,0.21743364718241348,0.24624954194188511,0.2637369650237048,0.16347276608326688,0.10910707976872953
0.17354101138202138,0.09005077006678737,1.927146333710554,0.018080884880696254,0.18701598204583375,0.30641895743347347,0.2716490252228148,0.21683515041718182
0.087766631989114,0.10014232323635004,0.8764189720461382,0.29597897082694197,0.24841148986172878,0.0900586388635334,0.02743090639500167,0.3381199940527942
0.1295367003951522,0.07299619892121971,1.774567748862556,0.17411140925222296,0.2585219004645035,0.19275189470821624,0.183182112641769,0.19143268293328836
0.1415144907940385,0.08783192108389096,1.611196579189856,0.1550478171390764,0.15396521757616852,0.16298230972333783,0.2652029815473337,0.2628016740140837
0.15375018319094264,0.09317432654247515,1.6501346336091083,0.08404003003413975,0.20621701819220034,0.3100776746597817,0.13734371435619555,0.2623215627576827
0.08863408294050207,0.12345913200650695,0.7179224533656253,0.32166873987286904,0.15144061624625577,0.07713299898699233,0.014583933272643486,0.43517371162123936
0.13174318493508796,0.08656229983859258,1.5219464499064999,0.32563891469055445,0.25138309290068966,0.37470751501776883,0.020669234358528653,0.027601243032458436
0.0929516165714332,0.12007850377522591,0.7740903962746626,0.317968600486649,0.1351621729239255,0.0657549254257038,0.05998763084996825,0.4211266703137535
